
chunk_size=1024, chunk_len=265, mag_len=271000
1>chunk_idx=199, left_mag_idx=203776, right_mag_idx=204799
1>chunk_idx=200, left_mag_idx=204800, right_mag_idx=205823
1>chunk_idx=201, left_mag_idx=205824, right_mag_idx=206847
1>chunk_idx=202, left_mag_idx=206848, right_mag_idx=207871
1>chunk_idx=203, left_mag_idx=207872, right_mag_idx=208895
1>chunk_idx=204, left_mag_idx=208896, right_mag_idx=209919
1>chunk_idx=205, left_mag_idx=209920, right_mag_idx=210943
1>chunk_idx=206, left_mag_idx=210944, right_mag_idx=211967
1>chunk_idx=207, left_mag_idx=211968, right_mag_idx=212991
1>chunk_idx=208, left_mag_idx=212992, right_mag_idx=214015
1>chunk_idx=209, left_mag_idx=214016, right_mag_idx=215039
1>chunk_idx=210, left_mag_idx=215040, right_mag_idx=216063
1>chunk_idx=211, left_mag_idx=216064, right_mag_idx=217087
1>chunk_idx=212, left_mag_idx=217088, right_mag_idx=218111
1>chunk_idx=213, left_mag_idx=218112, right_mag_idx=219135
1>chunk_idx=214, left_mag_idx=219136, right_mag_idx=220159
1>chunk_idx=215, left_mag_idx=220160, right_mag_idx=221183
1>chunk_idx=216, left_mag_idx=221184, right_mag_idx=222207
1>chunk_idx=217, left_mag_idx=222208, right_mag_idx=223231
1>chunk_idx=218, left_mag_idx=223232, right_mag_idx=224255
1>chunk_idx=219, left_mag_idx=224256, right_mag_idx=225279
1>chunk_idx=220, left_mag_idx=225280, right_mag_idx=226303
1>chunk_idx=221, left_mag_idx=226304, right_mag_idx=227327
1>chunk_idx=222, left_mag_idx=227328, right_mag_idx=228351
1>chunk_idx=223, left_mag_idx=228352, right_mag_idx=229375
1>chunk_idx=224, left_mag_idx=229376, right_mag_idx=230399
1>chunk_idx=225, left_mag_idx=230400, right_mag_idx=231423
1>chunk_idx=226, left_mag_idx=231424, right_mag_idx=232447
1>chunk_idx=227, left_mag_idx=232448, right_mag_idx=233471
1>chunk_idx=228, left_mag_idx=233472, right_mag_idx=234495
1>chunk_idx=229, left_mag_idx=234496, right_mag_idx=235519
1>chunk_idx=230, left_mag_idx=235520, right_mag_idx=236543
1>chunk_idx=231, left_mag_idx=236544, right_mag_idx=237567
1>chunk_idx=232, left_mag_idx=237568, right_mag_idx=238591
1>chunk_idx=233, left_mag_idx=238592, right_mag_idx=239615
1>chunk_idx=234, left_mag_idx=239616, right_mag_idx=240639
1>chunk_idx=235, left_mag_idx=240640, right_mag_idx=241663
1>chunk_idx=236, left_mag_idx=241664, right_mag_idx=242687
1>chunk_idx=237, left_mag_idx=242688, right_mag_idx=243711
1>chunk_idx=238, left_mag_idx=243712, right_mag_idx=244735
1>chunk_idx=239, left_mag_idx=244736, right_mag_idx=245759
1>chunk_idx=240, left_mag_idx=245760, right_mag_idx=246783
1>chunk_idx=241, left_mag_idx=246784, right_mag_idx=247807
1>chunk_idx=242, left_mag_idx=247808, right_mag_idx=248831
1>chunk_idx=243, left_mag_idx=248832, right_mag_idx=249855
1>chunk_idx=244, left_mag_idx=249856, right_mag_idx=250879
1>chunk_idx=245, left_mag_idx=250880, right_mag_idx=251903
